"","event","trial","time","PID"
"1","focus",0,0,"0TZUd"
"2","blur",0,0,"0TZUd"
"3","focus",0,0,"0TZUd"
"4","blur",0,0,"0TZUd"
"5","focus",0,0,"0TZUd"
"6","blur",0,0,"0TZUd"
"7","focus",0,0,"0TZUd"
"8","fullscreenenter",0,1166,"0TZUd"
"9","blur",0,0,"11Y9m"
"10","focus",0,0,"11Y9m"
"11","fullscreenenter",0,10246,"11Y9m"
"12","blur",152,681457,"11Y9m"
"13","focus",152,681571,"11Y9m"
"14","fullscreenenter",0,12848,"1mICX"
"15","fullscreenexit",1,14526,"1mICX"
"16","blur",1,18358,"1mICX"
"17","focus",1,20673,"1mICX"
"18","blur",35,149052,"1mICX"
"19","focus",35,156491,"1mICX"
"20","blur",51,208888,"1mICX"
"21","focus",51,217030,"1mICX"
"22","blur",64,280168,"1mICX"
"23","focus",64,299402,"1mICX"
"24","blur",67,347794,"1mICX"
"25","focus",67,351852,"1mICX"
"26","blur",140,680824,"1mICX"
"27","focus",140,692732,"1mICX"
"28","blur",199,818659,"1mICX"
"29","focus",199,830671,"1mICX"
"30","blur",199,832475,"1mICX"
"31","focus",199,834347,"1mICX"
"32","blur",199,844658,"1mICX"
"33","focus",199,861022,"1mICX"
"34","blur",274,987141,"1mICX"
"35","focus",274,997654,"1mICX"
"36","blur",348,1092824,"1mICX"
"37","focus",348,1132733,"1mICX"
"38","blur",641,1434860,"1mICX"
"39","focus",641,1454789,"1mICX"
"40","blur",1075,1813418,"1mICX"
"41","focus",1075,1817524,"1mICX"
"42","blur",1241,2104518,"1mICX"
"43","focus",1241,2161763,"1mICX"
"44","blur",1241,2161765,"1mICX"
"45","focus",1241,2166039,"1mICX"
"46","blur",1357,2435610,"1mICX"
"47","focus",1357,2439325,"1mICX"
"48","blur",0,0,"1tlbg"
"49","focus",0,0,"1tlbg"
"50","blur",0,0,"1tlbg"
"51","focus",0,0,"1tlbg"
"52","blur",0,0,"1tlbg"
"53","focus",0,0,"1tlbg"
"54","blur",0,0,"1tlbg"
"55","focus",0,0,"1tlbg"
"56","blur",0,0,"1tlbg"
"57","focus",0,0,"1tlbg"
"58","fullscreenenter",0,9102,"1tlbg"
"59","fullscreenenter",0,10184,"1UUok"
"60","fullscreenexit",1349,2484623,"1UUok"
"61","blur",1349,2485621,"1UUok"
"62","focus",1349,2490205,"1UUok"
"63","fullscreenenter",0,8970,"1W39U"
"64","blur",153,659599,"1W39U"
"65","focus",153,671038,"1W39U"
"66","fullscreenenter",0,5964,"1Yu0G"
"67","fullscreenexit",1341,1917149,"1Yu0G"
"68","blur",1341,1919936,"1Yu0G"
"69","blur",0,0,"30c1d"
