"","event","trial","time","PID"
"1","fullscreenenter",0,8953,"01lID"
"2","fullscreenenter",0,13973,"0Vh91"
"3","fullscreenexit",1074,1697160,"0Vh91"
"4","blur",1074,1698454,"0Vh91"
"5","focus",0,0,"2NaR6"
"6","fullscreenexit",0,10503,"2NaR6"
"7","fullscreenenter",0,1638,"32V7R"
"8","fullscreenexit",35,121167,"32V7R"
"9","blur",35,183021,"32V7R"
"10","focus",35,209844,"32V7R"
"11","blur",52,284449,"32V7R"
"12","focus",52,289067,"32V7R"
"13","blur",127,836292,"32V7R"
"14","focus",127,843892,"32V7R"
"15","blur",969,2078830,"32V7R"
"16","focus",969,2082770,"32V7R"
"17","blur",1076,2289217,"32V7R"
"18","focus",1076,2302498,"32V7R"
"19","fullscreenenter",0,2820,"3ps33"
"20","focus",0,0,"4CMwc"
"21","fullscreenexit",0,26233,"4CMwc"
"22","fullscreenenter",0,12618,"6IuPg"
"23","fullscreenexit",1060,2445001,"6IuPg"
"24","blur",1060,2447774,"6IuPg"
"25","focus",1060,2454265,"6IuPg"
"26","blur",1060,2470812,"6IuPg"
"27","focus",1060,2472881,"6IuPg"
"28","fullscreenenter",0,9099,"8H6Aa"
"29","blur",0,0,"8RfpN"
"30","focus",0,0,"8RfpN"
"31","blur",0,0,"8RfpN"
"32","focus",0,0,"8RfpN"
"33","fullscreenenter",0,2098,"8RfpN"
"34","fullscreenexit",70,304877,"8RfpN"
"35","blur",70,307380,"8RfpN"
"36","focus",70,312073,"8RfpN"
"37","blur",298,641786,"8RfpN"
"38","focus",298,651928,"8RfpN"
"39","blur",664,920446,"8RfpN"
"40","focus",664,929774,"8RfpN"
"41","blur",1062,1232991,"8RfpN"
"42","focus",1062,1243998,"8RfpN"
"43","blur",1063,1250779,"8RfpN"
"44","fullscreenenter",0,4943,"8RP3S"
"45","fullscreenexit",1,8492,"8RP3S"
"46","blur",10,46541,"8RP3S"
"47","focus",10,47707,"8RP3S"
"48","blur",170,428966,"8RP3S"
"49","focus",170,471942,"8RP3S"
"50","blur",812,1090900,"8RP3S"
"51","focus",812,1353364,"8RP3S"
